File Format	API FileType	Data Modality	Subtype	Extensions	Icon	SVG	Viewer Type	Group Logic	Package Type	Notes
Leica LCS LEI		Image	NDStack	.lei, .tif	Microscope	icon-microscope.svg	Image
Leica LAS AF LIF (Leica Image File Format)		Image	NDStack	.lif	Microscope	icon-microscope.svg	Image	Single file
Leica SCN		Image	NDStack	.scn	Microscope	icon-microscope.svg	Image	Single file
LEO		Image	NDStack	.sxm	Microscope	icon-microscope.svg	Image	Single file
Li-Cor L2D		Image	NDStack	.l2d, .tif, .scn	Microscope	icon-microscope.svg	Image
LIM (Laboratory Imaging/Nikon)		Image	NDStack	.lim	Microscope	icon-microscope.svg	Image	Single file
MetaMorph 7.5 TIFF		Image	NDStack	.tiff	Microscope	icon-microscope.svg	Image	Single file
MetaMorph Stack (STK)		Image	NDStack	.stk, .nd	Microscope	icon-microscope.svg	Image
MIAS (Maia Scientific)		Image	NDStack	.tif	Microscope	icon-microscope.svg	Image	Single file
Micro-Manager		Image	NDStack	.tif, .txt, .xml	Microscope	icon-microscope.svg	Image
MINC MRI		Image	NDStack	.mnc	Microscope	icon-microscope.svg	Image	Single file
Minolta MRW		Image	NDStack	.mrw	Microscope	icon-microscope.svg	Image	Single file
MNG (Multiple-image Network Graphics)		Image	NDStack	.mng	Microscope	icon-microscope.svg	Image	Single file
Molecular Imaging		Image	NDStack	.stp	Microscope	icon-microscope.svg	Image	Single file
MRC (Medical Research Council)		Image	NDStack	.mrc	Microscope	icon-microscope.svg	Image	Single file
NEF (Nikon Electronic Format)		Image	NDStack	.nef, .tif	Microscope	icon-microscope.svg	Image
Nikon Elements TIFF		Image	NDStack	.tiff	Microscope	icon-microscope.svg	Image	Single file
Nikon EZ-C1 TIFF		Image	NDStack	.tiff	Microscope	icon-microscope.svg	Image	Single file
Nikon NIS-Elements ND2		Image	NDStack	.nd2	Microscope	icon-microscope.svg	Image	Single file
NRRD (Nearly Raw Raster Data)		Image	NDStack	.nrrd, .nhdr, .raw, .txt	Microscope	icon-microscope.svg	Image
Olympus CellR/APL		Image	NDStack	.apl, .mtb, .tnb, .tif, .obsep	Microscope	icon-microscope.svg	Image
Olympus FluoView FV1000		Image	NDStack	.oib, .oif	Microscope	icon-microscope.svg	Image
Olympus FluoView TIFF		Image	NDStack	.tif	Microscope	icon-microscope.svg	Image	Single file
Olympus OIR		Image	NDStack	.oir	Microscope	icon-microscope.svg	Image	Single file
Olympus ScanR		Image	NDStack	.xml, .dat, .tif	Microscope	icon-microscope.svg	Image
Olympus SIS TIFF		Image	NDStack	.tiff	Microscope	icon-microscope.svg	Image	Single file
OME-TIFF		Image	NDStack	.ome.tiff, .ome.tif, .ome.tf2, .ome.tf8, .ome.btf	Microscope	icon-microscope.svg	Image
OME-XML		Image	NDStack	.ome, .ome.xml	Microscope	icon-microscope.svg	Image
OMERO Pyramid		Image	NDStack		Microscope	icon-microscope.svg	Image
Oxford Instruments		Image	NDStack	.top	Microscope	icon-microscope.svg	Image	Single file
PCORAW		Image	NDStack	.pcoraw, .rec	Microscope	icon-microscope.svg	Image
PCX (PC Paintbrush)		Image	NDStack	.pcx	Microscope	icon-microscope.svg	Image	Single file
Perkin Elmer Densitometer		Image	NDStack	.pds	Microscope	icon-microscope.svg	Image	Single file
PerkinElmer Columbus		Image	NDStack	.xml, .csv, .tif	Microscope	icon-microscope.svg	Image
PerkinElmer Nuance		Image	NDStack	.im3	Microscope	icon-microscope.svg	Image	Single file
PerkinElmer Operetta		Image	NDStack	.tiff, .xml	Microscope	icon-microscope.svg	Image
PerkinElmer UltraVIEW		Image	NDStack	.tif, .2, .3, .4, etc.	Microscope	icon-microscope.svg	Image
Portable Any Map		Image	NDStack	.pbm, .pgm, .ppm	Microscope	icon-microscope.svg	Image
Adobe Photoshop PSD		Image	NDStack	.psd	Microscope	icon-microscope.svg	Image	Single file
Photoshop TIFF		Image	NDStack	.tif, .tiff	Microscope	icon-microscope.svg	Image
PicoQuant Bin		Image	NDStack	.bin	Microscope	icon-microscope.svg	Image	Single file
PICT (Macintosh Picture)		Image	NDStack	.pict	Microscope	icon-microscope.svg	Image	Single file
Prairie Technologies TIFF		Image	NDStack	.tif, .xml, .cfg	Microscope	icon-microscope.svg	Image
Princeton Instruments SPE		Image	NDStack	.spe	Microscope	icon-microscope.svg	Image	Single file
Quesant		Image	NDStack	.afm	Microscope	icon-microscope.svg	Image	Single file
QuickTime Movie		Image	NDStack	.mov	Microscope	icon-microscope.svg	Image	Single file
RHK		Image	NDStack	.sm2, .sm3	Microscope	icon-microscope.svg	Image
SBIG		Image	NDStack		Microscope	icon-microscope.svg	Image
Seiko		Image	NDStack	.xqd, .xqf	Microscope	icon-microscope.svg	Image	Single file
SimplePCI & HCImage		Image	NDStack	.cxd	Microscope	icon-microscope.svg	Image	Single file
SimplePCI & HCImage TIFF		Image	NDStack	.tiff	Microscope	icon-microscope.svg	Image	Single file
SM Camera		Image	NDStack		Microscope	icon-microscope.svg	Image	Single file
SPIDER		Image	NDStack	.spi, .stk	Microscope	icon-microscope.svg	Image
Targa		Image	NDStack	.tga	Microscope	icon-microscope.svg	Image	Single file
Text		Image	NDStack	.txt	Microscope	icon-microscope.svg	Image	Single file
TIFF (Tagged Image File Format)		Image	NDStack	.tiff, .tif, .tf2, .tf8, .btf	Microscope	icon-microscope.svg	Image
TillPhotonics TillVision		Image	NDStack	.vws	Microscope	icon-microscope.svg	Image	Single file
Topometrix		Image	NDStack	.tfr, .ffr, .zfr, .zfp, .2fl	Microscope	icon-microscope.svg	Image
Trestle		Image	NDStack	.tif, .sld, .jpg	Microscope	icon-microscope.svg	Image
UBM		Image	NDStack	.pr3	Microscope	icon-microscope.svg	Image	Single file
Unisoku		Image	NDStack	.dat, .hdr	Microscope	icon-microscope.svg	Image
Varian FDF		Image	NDStack	.fdf	Microscope	icon-microscope.svg	Image	Single file
Veeco AFM		Image	NDStack	.hdf	Microscope	icon-microscope.svg	Image	Single file
VG SAM		Image	NDStack	.dti	Microscope	icon-microscope.svg	Image	Single file
VisiTech XYS		Image	NDStack	.xys, .html	Microscope	icon-microscope.svg	Image
Volocity		Image	NDStack	.mvd2	Microscope	icon-microscope.svg	Image	Single file
Volocity Library Clipping		Image	NDStack	.acff	Microscope	icon-microscope.svg	Image	Single file
WA-TOP		Image	NDStack	.wat	Microscope	icon-microscope.svg	Image	Single file
Windows Bitmap		Image	NDStack	.bmp	Microscope	icon-microscope.svg	Image	Single file
Woolz		Image	NDStack	.wlz	Microscope	icon-microscope.svg	Image	Single file
Zeiss Axio CSM		Image	NDStack	.lms	Microscope	icon-microscope.svg	Image	Single file
Zeiss AxioVision TIFF		Image	NDStack	.xml, .tif	Microscope	icon-microscope.svg	Image
Zeiss AxioVision ZVI (Zeiss Vision Image)		Image	NDStack	.zvi	Microscope	icon-microscope.svg	Image	Single file
Zeiss CZI		Image	NDStack	.czi	Microscope	icon-microscope.svg	Image	Single file
Zeiss LSM (Laser Scanning Microscope) 510/710		Image	NDStack	.lsm, .mdb	Microscope	icon-microscope.svg	Image
